year,mesh,age,density
2021,largemesh,0,0
2021,largemesh,1,0.212
2021,largemesh,2,0.637
2021,largemesh,3,0.849
2021,largemesh,4,0.425
2021,largemesh,5,0.425
2021,largemesh,6,1.06
2021,largemesh,7,2.55
2021,largemesh,0,3.93
2021,largemesh,1,0.982
2021,largemesh,2,0.982
2021,largemesh,3,0.491
2021,largemesh,4,1.96
2021,largemesh,5,3.93
2021,largemesh,6,5.89
2021,largemesh,7,11.8
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.613
2021,largemesh,3,1.23
2021,largemesh,4,1.23
2021,largemesh,5,1.23
2021,largemesh,6,2.14
2021,largemesh,7,3.06
2021,largemesh,0,0.714
2021,largemesh,1,0.178
2021,largemesh,2,0.714
2021,largemesh,3,0
2021,largemesh,4,0.714
2021,largemesh,5,1.43
2021,largemesh,6,2.86
2021,largemesh,7,4.28
2021,largemesh,0,0
2021,largemesh,1,0.438
2021,largemesh,2,0.657
2021,largemesh,3,0
2021,largemesh,4,0.438
2021,largemesh,5,0.876
2021,largemesh,6,1.31
2021,largemesh,7,2.63
2021,largemesh,0,0.209
2021,largemesh,1,0.209
2021,largemesh,2,0
2021,largemesh,3,0
2021,largemesh,4,0.209
2021,largemesh,5,0.835
2021,largemesh,6,1.67
2021,largemesh,7,3.13
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,1.1
2021,largemesh,3,1.1
2021,largemesh,4,0
2021,largemesh,5,2.19
2021,largemesh,6,8.78
2021,largemesh,7,19.8
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.486
2021,largemesh,3,0.162
2021,largemesh,4,0.324
2021,largemesh,5,0.647
2021,largemesh,6,1.29
2021,largemesh,7,1.78
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.147
2021,largemesh,3,0.147
2021,largemesh,4,0.147
2021,largemesh,5,0.441
2021,largemesh,6,1.18
2021,largemesh,7,2.21
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.91
2021,largemesh,3,0
2021,largemesh,4,0
2021,largemesh,5,1.82
2021,largemesh,6,6.37
2021,largemesh,7,18.2
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0.251
2021,largemesh,4,0.167
2021,largemesh,5,0.167
2021,largemesh,6,0.167
2021,largemesh,7,0.167
2021,largemesh,0,0
2021,largemesh,1,0.305
2021,largemesh,2,0.914
2021,largemesh,3,0.305
2021,largemesh,4,0.305
2021,largemesh,5,0.305
2021,largemesh,6,1.52
2021,largemesh,7,5.18
2021,largemesh,0,0
2021,largemesh,1,0
2021,largemesh,2,0.729
2021,largemesh,3,0.547
2021,largemesh,4,0.365
2021,largemesh,5,0.729
2021,largemesh,6,1.28
2021,largemesh,7,1.64
2021,largemesh,0,2.64
2021,largemesh,1,0
2021,largemesh,2,0
2021,largemesh,3,0
2021,largemesh,4,0
