"","x"
"1",0.001
"2",0.0011626674710371
"3",0.00480762498190728
"4",0.0638979700530981
"5",0.0281202530097495
"6",0.460664765489492
"7",0.790230372841144
"8",0.999
"9",0.0110634627517334
"10",0.00116381695846885
"11",0.00160160777085953
"12",0.00798572507035237
"13",0.0280246385991499
"14",0.920549209470371
"15",0.948901834880037
"16",0.999
"17",0.001
"18",0.001
"19",0.00289993970611267
"20",0.058025896880407
"21",0.0510120545910737
"22",0.835679286477009
"23",0.999
"24",0.752174913353008
"25",0.004362420799272
"26",0.000457850888799472
"27",0.00252739870380085
"28",0.001
"29",0.0221571003610406
"30",0.726972351592322
"31",0.999
"32",0.787206828570674
"33",0.001
"34",0.0023290465241263
"35",0.0048077393228538
"36",0.001
"37",0.0280988662437509
"38",0.920630142637148
"39",0.946899263796396
"40",0.999
"41",0.00218688688495444
"42",0.000920663749980917
"43",0.001
"44",0.001
"45",0.0111073806395152
"46",0.726972871066419
"47",0.999
"48",0.985915154129233
"49",0.001
"50",0.001
"51",0.00106917836853896
"52",0.0106619932581332
"53",0.001
"54",0.305709514156362
"55",0.842977660017695
"56",0.999
"57",0.001
"58",0.001
"59",0.00381407857536544
"60",0.0126781690107956
"61",0.0222914086130064
"62",0.729227221556649
"63",0.999
"64",0.725841260913998
"65",0.001
"66",0.001
"67",0.00126118416296309
"68",0.0125766989026356
"69",0.0110564989715728
"70",0.543381318166982
"71",0.999
"72",0.985194429984872
"73",0.001
"74",0.001
"75",0.000962262309058849
"76",0.001
"77",0.001
"78",0.276395087832237
"79",0.665354787406464
"80",0.999
"81",0.001
"82",0.001
"83",0.001
"84",0.104361630655079
"85",0.0610428166163629
"86",0.999
"87",0.687782770408951
"88",0.361795294897614
"89",0.001
"90",0.000823433630290618
"91",0.00339583397013256
"92",0.0113002553555369
"93",0.00993434463889608
"94",0.162743944469351
"95",0.557828859978753
"96",0.999
"97",0.001
"98",0.001
"99",0.00576581426426867
"100",0.0431428306234671
"101",0.0253084250990031
"102",0.828067965524854
"103",0.999
"104",0.673977157936627
"105",0.006643696823762
"106",0.001
"107",0.001
"108",0.001
"109",0.001
"110",0.552794822877967
"111",0.888584627722085
"112",0.999
"113",0.001
"114",0.001
"115",0.00137293318671424
"116",0.0274432732291498
"117",0.0241260860618587
"118",0.592409085512337
"119",0.950513365818036
"120",0.999
"121",0.001
"122",0.001
"123",0.00137214021596762
"124",0.0274551881257909
"125",0.0361657864238702
"126",0.592466412700035
"127",0.950513419137269
"128",0.999
"129",0.001
"130",0.000774751549456704
"131",0.001
"132",0.0106321745053282
"133",0.001
"134",0.306244709233683
"135",0.738990330685695
"136",0.999
"137",0.001
"138",0.000874057196564245
"139",0.00361606673605241
"140",0.001
"141",0.001
"142",0.346578137894285
"143",0.831698930047229
"144",0.999
"145",0.00221733460567738
"146",0.001
"147",0.001284628175191
"148",0.0128104854671596
"149",0.0112620267715064
"150",0.36898772149792
"151",0.761350598549288
"152",0.999
"153",0.001
"154",0.001
"155",0.001
"156",0.0239743832125604
"157",0.0210764959931423
"158",0.345273882386034
"159",0.712110973051667
"160",0.999
"161",0.001
"162",0.001
"163",0.001
"164",0.001
"165",0.001
"166",0.873338477675825
"167",0.999
"168",0.842586241490066
"169",0.001
"170",0.001
"171",0.001
"172",0.0126015705299517
"173",0.0110783642566638
"174",0.72697298456805
"175",0.999
"176",0.984909875372461
"177",0.001
"178",0.001
"179",0.00481676878697659
"180",0.0240167359297867
"181",0.0105568641113573
"182",0.172941985784864
"183",0.711556769580975
"184",0.999
"185",0.001
"186",0.001
"187",0.001
"188",0.0120080733308467
"189",0.0211132121559437
"190",0.518814020695874
"191",0.95051333752815
"192",0.999
"193",0.001
"194",0.001
"195",0.001
"196",0.001
"197",0.001
"198",0.460125199979045
"199",0.632932583010662
"200",0.999
"201",0.012463175301917
"202",0.00700288628864364
"203",0.0217052947261866
"204",0.0480515036358875
"205",0.001
"206",0.001
"207",0.71323934135203
"208",0.999
"209",0.00830464410599459
"210",0.000874048874985001
"211",0.001202838178218
"212",0.001
"213",0.001
"214",0.172747776347455
"215",0.712882595098911
"216",0.999
"217",0.00165856025887902
"218",0.000698241958825473
"219",0.00192440087405207
"220",0.001
"221",0.001
"222",0.138002469161591
"223",0.522182314555955
"224",0.999
"225",0.0103701608392377
"226",0.0026194576997265
"227",0.001
"228",0.001
"229",0.001
"230",0.172570927237236
"231",0.593462343936369
"232",0.999
"233",0.00390622977964046
"234",0.00164449479447914
"235",0.00113155062550101
"236",0.001
"237",0.001
"238",0.325019444310693
"239",0.671835216785063
"240",0.999
"241",0.001
"242",0.001
"243",0.00320493932517273
"244",0.001
"245",0.001
"246",0.460282270408908
"247",0.948537389956173
"248",0.999
"249",0.001
"250",0.001
"251",0.001
"252",0.0288739952469229
"253",0.0380758069730414
"254",0.831675318682246
"255",0.999
"256",0.977913347042108
"257",0.001
"258",0.00104958719831998
"259",0.00433322549250842
"260",0.0288076850166044
"261",0.0126627843337222
"262",0.622329366636807
"263",0.999
"264",0.903284781358403
"265",0.001
"266",0.000933875906950983
"267",0.00257034047776643
"268",0.0256317840209454
"269",0.0112667792717115
"270",0.553716007709416
"271",0.890514003825889
"272",0.999
"273",0.001
"274",0.001
"275",0.00120655065649493
"276",0.0120318862279477
"277",0.021090188123693
"278",0.692060680882327
"279",0.833526837882234
"280",0.999
"281",0.001
"282",0.001
"283",0.001
"284",0.0127008911258658
"285",0.0222597848972003
"286",0.729318137809841
"287",0.999
"288",0.924797011152053
"289",0.001
"290",0.001
"291",0.000962271739874913
"292",0.00959590453291921
"293",0.001
"294",0.138198310231709
"295",0.569131890955464
"296",0.999
